dam_name,longitude,latitude
LAKE OF THE WOODS DAM,-92.76,38.9433
WELLSVILLE LAKE DAM,-91.58,39.0345
WELLSVILLE CITY LAKE DAM,-91.5826,39.0632
SHIELDS LAKE DAM,-93.394,39.708
MARKS LAKE DAM,-91.5883,40.203
BISHOP LAKE DAM,-91.333,38.9188
MILLER DAM,-91.1125,39.4411
ALTHISER LAKE DAM,-92.0348,38.8127
CURT LEE DAM,-94.3309,40.2322
WINNETONKA LAKE DAM (REMOVED),-94.5344,39.1724
GRACE LAKE DAM,-93.2505,39.4288
DIANE LAKE DAM (DRY),-91.8061,39.1823
OBERLAG LAKE DAM,-92.101,39.1069
ROCKY FORK CREEK DAM,-92.3087,39.075
QUINN&FITZGERALD LAKE DAM,-92.6793,39.3993
SHULL LAKE NORTH COVE DAM,-93.2871,39.5469
MONONAME791,-94.6352,39.2438
WOODY CREEK DAM,-91.2994,38.7805
LOCHRIDGE FARMS LAKE DAM,-94.7648,40.339
SCHUPMANN LAKE DAM,-91.0652,38.9552
SPRING LAKE DAM,-94.3227,39.4781
CULVER LAKE DAM,-94.6071,40.0445
WYACONDA CITY DAM,-91.9069,40.3992
TABO CREEK WATERSHED DAM D-28,-93.8711,39.1681
DEICHMAN LAKE DAM (SOUTH),-91.523,39.1335
NEW CAMBRIA LAKE DAM,-92.7322,39.7654
EAST FORK BIG CREEK DAM A- 30,-93.9768,40.4249
FOUNTAIN GROVE LAKE DAM,-93.3229,39.7167
GARRETT LAKE DAM,-92.587,40.175
MARSHALL DIGGS WILDLIFE AREA DAM NRTH,-91.6317,39.073
BEAR CREEK WATERSHED DAM A- 2,-92.0424,40.414
SEVER LAKE NORTH DAM,-92.1488,40.2553
COLLINS LAKE DAM,-92.7822,39.1863
102 RIVER TRIBUTARIES DAM # 22,-94.7965,40.3619
ST JOSEPH LAKE DAM,-91.6333,38.8326
EAST FORK BIG CREEK DAM A- 34,-93.9369,40.4106
HOOVER FRANKUM E-20,-95.1366,40.3855
AUGUST A BUSCH LAKE #570 DAM,-90.7533,38.7188
STEINHOFF LAKE DAM,-93.6082,40.1442
HOOVER FRANKUM B-20,-95.1227,40.4445
WILLOW CREEK WATERSHED DAM A- 30,-94.0054,39.259
HOOVER FRANKUM C-20,-95.1457,40.4328
PLATTE RIVER SITE 8-B,-94.5939,40.499
HENRY SEVER DAM,-91.9759,40.0054
MARION MENDENHALL,-95.1999,40.1226
TABO CREEK WATERSHED DAM E-40,-93.6404,39.1778
FAYETTE OLD CITY LAKE DAM,-92.7077,39.1389
TABO CREEK WATERSHED DAM F-27,-93.6885,39.1345
BIBB LAKE DAM,-91.1972,39.3656
PANTHER CREEK WATERSHED DAM G-  1,-93.8254,40.3651
SAVAGE LAKE DAM,-93.507,39.6755
MORGAN LAKE DAM,-94.3956,39.233
BANKHEAD LAKE DAM,-92.6516,39.1415
GEORGE BAAKE DAM,-92.5091,39.9348
TABO CREEK WATERSHED DAM D-23,-93.8347,39.1574
TEAL LAKE DAM,-91.8702,39.155
PASSIONIST FATHERS DAM,-91.1087,38.8056
TIMBER LAKE DAM,-90.9581,38.7225
CARTER LAKE DAM-SECTION 10 UPPER,-93.8726,39.1518
LAKE LINCOLN DAM,-90.9216,39.0202
WILLOW CREEK WATERSHED DAM A- 27,-94.007,39.2447
BACKUES LAKE DAM,-92.3802,39.2857
SCHULTZ LAKE DAM,-92.0756,40.2847
NORTHEAST DAM # 2,-92.7438,38.9565
DONALDSON LAKE DAM,-92.089,39.3329
KI-WI LAKE DAM,-91.5944,39.0284
CLAY COUNTY SPORTSMAN S CLUB LAKE DAM,-94.4037,39.4431
MONONAME 571,-91.6982,39.4533
FOX LAKE DAM,-90.7915,38.7451
MOORE LAKE DAM,-90.8796,38.9764
LEHENBAUER LAKE DAM-SECT 35,-92.0121,38.9832
GENTEMAN LAKE DAM,-91.0145,38.921
LAKE SHERWOOD,-90.3513,38.693
CROAT LAKE DAM,-94.4181,39.3077
HAMMOND BROS LAKE DAM,-93.4417,40.3306
LAKE ARROWHEAD DAM,-94.3174,39.476
CAIN FARM LAKE DAM,-95.1006,40.0428
EAST LAKE DAM,-93.2346,39.4304
WHALEN DAM,-91.7684,39.0448
BROADY LAKE DAM,-95.443,40.4462
LAKEVIEW ESTATES DAM,-91.1711,38.8128
HARBISON-WALKER REFRACTORY LAKE DAM,-91.9072,38.8581
TRENHAILE LAKE DAM,-92.0994,39.8578
VIRGNA HOLDNG CRP NOR LK DM/(SHALLOW),-94.4727,39.2117
BAKER LAKE DAM,-93.312,40.1221
MONONAME 507,-90.9395,38.8601
102 RIVER TRIBUTARIES DAM 21,-94.808,40.3629
EDINA CITY RESERVOIR DAM,-92.1775,40.1907
TABO CREEK A-23,-93.7252,39.2006
WOODWORTH LAKE DAM,-93.7648,40.1242
OLENHOUSE LAKE DAM,-93.544,39.8411
STATON,-91.221,39.3877
AUGUST A BUSCH LAKE #6 DAM,-90.766,38.7064
MONONAME 12,-91.5045,39.8694
ODESSA HILLS LAKE DAM,-93.9871,39.0465
HERBANGIE LAKE DAM,-91.8512,39.4678
HURDLAND SEVERS LAKE DAM,-92.2936,40.1119
JONES DAM,-94.7638,39.606
FENDER FARMS LAKE DAM WEST,-93.7443,39.9498
WHITE LAKE DAM,-92.8316,39.7798
QUEEN CITY RESERVOIR DAM,-92.5749,40.3736
BUCK & DOE RUN WATERSHED DAM 38,-91.5374,40.2158
BROOKFIELD COUNTRY CLUB DAM,-93.032,39.7877
MONONAME 25,-95.182,40.3982
BEAR CREEK WATERSHED DAM D- 25,-91.9617,40.3492
TABO CREEK WATERSHED DAM D-29,-93.7921,39.143
STEIN LAKE DAM,-91.1774,38.8284
WINDMILLER DAM #1,-92.1671,38.7807
HITZ LAKE DAM,-90.9348,38.8364
FEUTZ LAKE DAM EAST UPPER,-91.9909,39.0882
JOHNSON LAKE DAM,-90.9251,38.7679
CAMERON #3 DAM,-94.273,39.7739
JOHN SIMPSON DAM,-93.9554,39.7516
KOHL LAKE DAM-EAST,-91.4257,39.2878
GRINDSTONE-LOST-MUDDY WATERSHED DAM B- 21,-94.3743,39.8425
TABO CREEK WATERSHED DAM C-33,-93.8081,39.1291
NEWCOMB DAM-SOUTH,-92.4388,40.5557
CALLAHAN CREEK C-1,-92.4533,39.0144
MISSISSIPPI RIVER DAM 22,-91.2487,39.6353
LINNEUS LAKE DAM,-93.1993,39.8868
PRAIRIE LAKE DAM,-92.6862,40.5404
KING LAKE DAM,-94.4373,40.02
"WILSON,DAVID R.,DAM",-92.2599,39.7907
DURGENS CREEK WATERSHED DAM 37,-91.5665,40.0577
FAYETTE NEW CITY LAKE DAM,-92.7302,39.1649
CAMERON CITY RESERVOIR #1 DAM,-94.2612,39.7628
RAY COUNTY LAKE DAM,-93.9944,39.3094
NANCE DAM,-94.2574,40.0126
SEATON LAKE DAM,-93.1869,40.5427
LAKE THUNDERHEAD DAM,-93.0193,40.5295
LAKE CHATEAU DAM,-92.1775,38.9156
ELMWOOD CITY LAKE DAM,-93.1142,40.2244
CAMERON RESERVOIR #2 DAM,-94.2588,39.763
LOCKE LAKE DAM WEST,-91.9793,39.1977
WALLYS LAKE DAM,-93.1664,39.1349
NEWMAN LAKE #2 DAM,-92.1488,38.9442
BOOTH LAKE DAM,-93.1534,40.1792
LOVE LAKE DAM,-92.4857,39.945
KEOTA LAKE DAM,-92.5828,39.7099
SHELTON LAKE DAM,-91.6138,39.0048
MONONAME 278,-94.8136,39.8654
TABO CREEK WTRSHD E-22 DAM,-93.6515,39.185
BASS LAKE DAM,-94.057,39.0003
JESTES LAKE DAM,-94.3211,40.011
JONES LAKE DAM-SEC 10,-94.4853,39.6774
TRENTON RESERVOIR NORTH,-93.6361,40.084
DYSART LAKE DAM,-94.9689,40.0966
WILLOW CREEK WATERSHED DAM A- 24A,-94.0164,39.2679
