UNITID,OPEID,OPEID6,college_name,city,state,ZIP,type,ST_FIPS,region,LATITUDE,LONGITUDE,admission_rate,SAT_AVG,undergrad_enrollment,percentage_white,percentage_black,percentage_hispanic,percentage_asian,percentage_american_indian,percentage_hawaiian_pacific_islander,percentage_non_resident_alien,avg_income_from_mid_income_bracket,avg_income_from_high_income_bracket,earning_above_threshold,avg_net_price,median_earnings,avg_income_from_low_income_bracket,first_bracket_net_price,second_bracket_net_price(public,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,attendance_cost,instate_tuition,outofstate_tuition,pell_recipients,fed_loan_recipients,compeletion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_american_indian,debt_graduated,debt_withdrew,debt_low_income,debt_mid_income,debt_high_income,debt_pell,debt_nopell,population_debt_low_income,population_debt_middle_income,population_debt_high_income,population_debt_pell,population_repayment_cohort,population_recieving_loan,population_recieving_pell,RET_FT4,RET_FTL4
155283,2361600,23616,Concorde Career College-Kansas City,Kansas City,MO,64111-2407,3,29,4,39.068592,-94.590066,1,NULL,590,0.4203,0.4034,0.0949,0.0186,0.0051,0.0017,0,PrivacySuppressed,PrivacySuppressed,0.439,20763,22100,22500,20717,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4003,0.4502,0.578019289,0.5864,0.4828,0.6406,0.6667,0.625,9500,4057,9500,9500,9500,9500,9500,1374,352,150,1549,1625,0.831313131,0.794444444,NULL,NULL
176600,163200,1632,Aquinas Institute of Theology,Saint Louis,MO,63108-3323,2,29,4,38.635008,-90.237365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL
176619,246302,2463,Assemblies of God Theological Seminary,Springfield,MO,65802-2131,2,29,4,37.224401,-93.26151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22062,10270,15125,16000,15500,18271,12000,466,523,425,878,1057,0.930269414,0.569730586,NULL,NULL
176628,244900,2449,Avila University,Kansas City,MO,64145-1698,2,29,4,38.912159,-94.591387,0.5198,1038,1321,0.6101,0.1893,0.0765,0.0167,0.0083,0.0038,0.0666,43400,44700,0.776,19610,41100,39500,17042,NULL,NULL,NULL,NULL,36178,25700,25700,0.4226,0.7059,0.488180808,0.4679,0.4167,0.7778,NULL,NULL,26625,11500,19497,18724,19500,21000,16750,407,261,282,584,729,0.960248447,0.552795031,0.7088,NULL
176637,732923,7329,ITT Technical Institute-Earth City,Earth City,MO,63045,3,29,4,38.757955,-90.461159,0.6196,NULL,517,0.4642,0.4313,0.0135,0.0155,0.0058,0,0,46300,47200,0.721,23478,38800,38200,23163,NULL,NULL,NULL,NULL,27486,18048,18048,0.8007,0.8339,0.341540329,0.3571,0.3182,0,0.3333,NULL,25827.5,9500,12667,17014,17000,13947,12667,46852,14813,4851,56021,52325,0.800189188,0.814378315,1,NULL
176664,1320800,13208,Baptist Bible College,Springfield,MO,65803-3498,2,29,4,37.239731,-93.285385,NULL,NULL,317,0.8644,0.0347,0.0379,0.0126,0.0158,0.0032,0,32400,30500,0.612,12799,29100,37300,10634,NULL,NULL,NULL,NULL,17281,9050,9050,0.6328,0.682,0.363631579,0.3947,0,0.5,1,NULL,20662.5,9500,12880,14150,17000,14375,9844,88,71,35,156,275,0.792134832,0.735955056,0.6909,NULL
176716,2277500,22775,House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,64014,3,29,4,38.999893,-94.273804,NULL,NULL,102,0.8333,0.0588,0.0784,0.0294,0,0,0,PrivacySuppressed,PrivacySuppressed,0.26,13978,11600,PrivacySuppressed,13861,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4966,0.551,0.730142857,NULL,NULL,NULL,NULL,9088.5,4750,7917,PrivacySuppressed,PrivacySuppressed,7917,8023,100,15,18,108,187,0.888198758,0.776397516,NULL,0.8667,
176770,2068200,20682,Cox College,Springfield,MO,65802,2,29,4,37.225116,-93.290233,0.5455,NULL,744,0.9409,0.0108,0.0215,0.0108,0.0013,0.0013,0,40700,44900,0.734,16546,41400,37400,14738,NULL,NULL,NULL,NULL,18972,10150,10150,0.476,0.6755,0.675328571,0.5366,0,0,0,NULL,21963,9500,17416,17718,16000,18712.5,14750,293,213,111,406,416,0.900584795,0.608187135,0.2857,NULL
176789,245000,2450,Calvary Bible College and Theological Seminary,Kansas City,MO,64147-1341,2,29,4,38.838169,-94.546238,1,1014,225,0.8044,0.1111,0.0311,0.0133,0.0133,0,0.0044,PrivacySuppressed,PrivacySuppressed,0.62,12049,29100,PrivacySuppressed,12205,NULL,NULL,NULL,NULL,17891,10600,10600,0.5339,0.494,0.485714286,0.4872,0,NULL,NULL,NULL,19399,6250,9500,12000,8250,10473,8250,51,51,27,96,124,0.74796748,0.796747968,0.5405,NULL
176798,553200,5532,Cape Girardeau Career and Technology Center,Cape Girardeau,MO,63703-7511,1,29,4,37.274138,-89.56525,NULL,NULL,320,0.8906,0.1031,0,0,0.0063,0,0,PrivacySuppressed,PrivacySuppressed,0.587,16103,29600,26700,15396,NULL,17871,NULL,NULL,NULL,NULL,NULL,0.3969,0.4046,0.938744898,NULL,NULL,NULL,NULL,9500,4750,9500,9125,8250,9500,8250,118,54,35,139,147,0.718487395,0.768907563,NULL,0.7143,
